id, nombre, apellido, precio, codigo, tipo, estado
84,Lesya,Pino,15000.000000,IB0800A,1,1
85,Tatiania,Palma,20000.000000,IB0800A,1,1
86,Trenton,Moreno,12000.000000,IB0800A,1,1
87,Angie,Sanhueza,20000.000000,MM0987B,1,1
88,Joelle,Carvajal,37000.000000,MM0987B,1,1
89,George,Navarrete,30000.000000,MM0987B,1,1
90,Guenevere,Saez,30000.000000,MM0987B,2,1
91,Margaretha,Alvarado,10000.000000,MM0987B,1,1
92,Sully,Donoso,15000.000000,MM0987B,1,1
93,Lonni,Poblete,50000.000000,MM0987B,2,1
94,Nicky,Bustamante,42000.000000,MM0987B,1,4
95,My,Toro,18000.000000,MM0987B,1,4
96,Kyrstin,Ortega,37000.000000,IB0800A,2,4
97,Martino,Venegas,15000.000000,IB0800A,3,4
98,Marcellus,Guerrero,50000.000000,IB0800A,3,4
99,Jacquelin,Mendoza,30000.000000,IB0800A,2,4
100,Aleda,Farias,50000.000000,IB0800A,1,4
101,Georgeta,San Martin,10000.000000,IB0800A,2,4
102,Marcille,Gonzalez,10000.000000,IB0800A,3,4
103,Ertha,Fernandez,10000.000000,IB0800A,2,4
104,Desiri,Rodriguez,25000.000000,MM0987B,1,4
105,Geneva,Lopez,33000.000000,MM0987B,2,4
106,Kilian,Martinez,42000.000000,MM0987B,1,3
107,Nance,Sanchez,10000.000000,MM0987B,3,3
108,Gaven,Perez,10000.000000,MM0987B,3,3
109,Carlie,Gomez,10000.000000,MM0987B,2,3
110,Trixie,Martin,42000.000000,IB0800A,1,3
111,Dominick,Jimenez,30000.000000,IB0800A,2,3
112,Petey,Ruiz,15000.000000,IB0800A,3,3
113,Tersina,Hernandez,30000.000000,IB0800A,2,3
114,Johnathon,Diaz,15000.000000,IB0800A,1,3
115,Freddie,Moreno,12000.000000,IB0800A,2,3
116,Harmon,alvarez,50000.000000,IB0800A,2,3
117,Tracey,Munioz,20000.000000,IB0800A,2,3
118,Cherrita,Romero,33000.000000,MM0987B,2,3
119,Stu,Alonso,12000.000000,MM0987B,1,3
120,Glenda,Gutierrez,37000.000000,MM0987B,1,3
121,Lorettalorna,Navarro,25000.000000,MM0987B,1,3
122,Patrizio,Torres,15000.000000,IB0800A,1,3
123,Linda,Dominguez,30000.000000,IB0800A,1,2
124,Pippa,Vazquez,20000.000000,IB0800A,1,3
125,Pen,Ramos,18000.000000,IB0800A,2,2
126,Esteban,Gonzalez,15000.000000,IB0800A,3,2
127,Fonzie,Munioz,15000.000000,IB0800A,3,4
128,Cindelyn,Rojas,12000.000000,IB0800A,3,4
129,Zacharie,Diaz,30000.000000,BA2491A,3,1
130,Vina,Perez,42000.000000,BA2491A,3,2
131,Omero,Soto,10000.000000,BA2491A,3,1
132,Tom,Contreras,33000.000000,BA2491A,1,1
133,Dante,Silva,30000.000000,BA2491A,3,1
134,Cordy,Martinez,18000.000000,BA2491A,2,1
135,Stephenie,Sepulveda,50000.000000,BA2491A,3,1
136,Dunstan,Morales,20000.000000,BA2491A,2,1
137,Gideon,Rodriguez,15000.000000,BA2491A,1,1
138,Johnette,Lopez,10000.000000,BA2491A,2,2
139,Brynn,Fuentes,50000.000000,BA2491A,1,2
140,Yankee,Hernandez,42000.000000,BA2491A,1,2
141,Corbin,Torres,42000.000000,BA2491A,1,2
142,Coreen,Araya,18000.000000,IB0800A,3,2
143,Tanya,Flores,30000.000000,IB0800A,2,2
144,Jenna,Espinoza,25000.000000,IB0800A,3,2
145,Flora,Valenzuela,33000.000000,IB0800A,2,2
146,Dianna,Castillo,20000.000000,IB0800A,1,2
147,Armand,Tapia,15000.000000,IB0800A,2,2
148,Gustie,Reyes,42000.000000,IB0800A,3,2
149,Benton,Gutierrez,12000.000000,IB0800A,2,2
150,Lena,Castro,25000.000000,IB0800A,1,2
151,Dot,Pizarro,18000.000000,IB0800A,2,2
152,Meryl,alvarez,12000.000000,IB0800A,3,2
153,Babbie,Vasquez,15000.000000,IB0800A,2,2
154,Byram,Sanchez,42000.000000,IB0800A,1,2
155,Bertine,Fernandez,25000.000000,IB0800A,2,3
156,Osbert,Ramirez,42000.000000,IB0800A,3,3
157,Tanny,Carrasco,42000.000000,IB0800A,2,3
158,Maryjo,Gomez,12000.000000,IB0800A,1,3
159,Clarie,Cortes,42000.000000,IB0800A,2,3
160,Kipp,Herrera,15000.000000,IB0800A,2,3
161,Leonie,Nuniez,50000.000000,IB0800A,1,3
162,Ferdie,Jara,15000.000000,IB0800A,2,3
163,Ofella,Vergara,50000.000000,IB0800A,2,3
164,Pascale,Rivera,15000.000000,IB0800A,1,3
165,Cathrin,Figueroa,30000.000000,IB0800A,2,3
166,Sib,Riquelme,33000.000000,IB0800A,2,3
167,Darleen,Garcia,42000.000000,IB0800A,1,3
168,Didi,Miranda,15000.000000,IB0800A,2,3
169,Lodovico,Bravo,18000.000000,IB0800A,1,3
170,Farley,Vera,12000.000000,IB0800A,2,3
171,Devi,Molina,25000.000000,IB0800A,2,3
172,Clair,Vega,37000.000000,IB0800A,3,3
173,Addy,Campos,33000.000000,IB0800A,2,3
174,Brandon,Sandoval,18000.000000,IB0800A,1,3
175,Prentiss,Orellana,30000.000000,IB0800A,1,3
176,Lorant,Cardenas,50000.000000,MM0987B,2,3
177,Wanids,Olivares,30000.000000,MM0987B,1,3
178,Robbi,Alarcon,10000.000000,MM0987B,2,3
179,Mellicent,Gallardo,50000.000000,MM0987B,1,3
180,Lynea,Ortiz,20000.000000,MM0987B,1,3
181,Nial,Garrido,15000.000000,MM0987B,1,3
182,Guillaume,Salazar,37000.000000,MM0987B,1,3
183,Loutitia,Guzman,25000.000000,MM0987B,1,3
184,Ruthe,Henriquez,30000.000000,MM0987B,1,3
185,Eric,Saavedra,50000.000000,MM0987B,1,3
186,Marcellus,Navarro,30000.000000,MM0987B,1,3
187,Ian,Aguilera,42000.000000,MM0987B,1,3
188,Sebastien,Parra,37000.000000,MM0987B,1,3
189,Scarface,Romero,50000.000000,MM0987B,1,3
190,Maible,Aravena,18000.000000,MM0987B,1,3
191,Waldon,Vargas,30000.000000,MM0987B,1,3
192,Bethina,Vazquez,15000.000000,MM0987B,1,3
193,Farand,Caceres,42000.000000,MM0987B,1,3
194,Zolly,Yaniez,25000.000000,MM0987B,1,3
195,Philipa,Leiva,42000.000000,TU6789B,1,3
196,Roderigo,Escobar,20000.000000,BA2491A,1,3
197,Otho,Ruiz,20000.000000,BA2491A,2,3
198,Alasteir,Valdes,20000.000000,BA2491A,2,3
199,Eleonora,Vidal,42000.000000,BA2491A,2,3
200,Eliot,Salinas,12000.000000,BA2491A,2,3
201,Alana,Zuniiga,30000.000000,BA2491A,2,3
202,Odey,Penia,20000.000000,BA2491A,2,3
203,Yorke,Godoy,15000.000000,BA2491A,2,3
204,Cissiee,Lagos,18000.000000,BA2491A,2,3
205,Jillana,Maldonado,18000.000000,BA2491A,2,3
206,Mallorie,Bustos,30000.000000,TU6789B,2,3
207,Borden,Medina,12000.000000,TU6789B,2,3
208,Maddie,Pino,33000.000000,TU6789B,2,3
209,Weider,Palma,50000.000000,TU6789B,2,3
210,Asia,Moreno,37000.000000,TU6789B,2,3
211,Sayres,Sanhueza,10000.000000,TU6789B,2,3
212,Marcile,Carvajal,30000.000000,TU6789B,2,3
213,Thomasina,Navarrete,42000.000000,TU6789B,3,1
214,Darwin,Saez,18000.000000,TU6789B,3,1
215,Nicolina,Alvarado,30000.000000,TU6789B,3,1
216,Nita,Donoso,12000.000000,TU6789B,3,1
217,Nikoletta,Poblete,12000.000000,TU6789B,3,1
218,Dwight,Bustamante,42000.000000,TU6789B,3,1
219,Romola,Toro,50000.000000,TU6789B,3,1
220,Kaile,Ortega,33000.000000,TU6789B,3,1
221,Mozes,Venegas,25000.000000,TU6789B,3,1
222,Aylmer,Guerrero,33000.000000,TU6789B,3,1
223,Marina,Mendoza,12000.000000,TU6789B,3,1
224,Enrico,Farias,50000.000000,TU6789B,3,1
225,Zonda,San Martin,33000.000000,TU6789B,3,1
226,Adriano,Gonzalez,33000.000000,TU6789B,3,1
227,Trula,Fernandez,30000.000000,TU6789B,3,1
228,Adel,Rodriguez,30000.000000,TU6789B,2,1
229,Jeniece,Lopez,15000.000000,TU6789B,2,1
230,Tabina,Martinez,10000.000000,TU6789B,2,1
231,Liana,Sanchez,33000.000000,TU6789B,2,1
232,Marmaduke,Perez,10000.000000,BA2491A,2,1
233,Alla,Gomez,30000.000000,BA2491A,2,1
234,Peter,Martin,12000.000000,BA2491A,1,1
235,Pietro,Jimenez,18000.000000,BA2491A,1,1
236,Hiram,Ruiz,20000.000000,BA2491A,1,1
237,Anastasia,Hernandez,18000.000000,BA2491A,1,1
238,Cathleen,Diaz,10000.000000,TU6789B,1,1
239,Leeanne,Moreno,15000.000000,TU6789B,1,1
240,Chet,alvarez,42000.000000,TU6789B,2,1
241,Billie,Munioz,37000.000000,TU6789B,2,3
242,Alexandra,Romero,42000.000000,TU6789B,2,3
243,Broddie,Alonso,42000.000000,TU6789B,2,3
244,Brigham,Gutierrez,25000.000000,TU6789B,2,3
245,Cal,Navarro,42000.000000,TU6789B,2,3
246,Donal,Torres,18000.000000,TU6789B,2,3
247,Adam,Dominguez,20000.000000,TU6789B,2,3
248,Dotty,Vazquez,42000.000000,TU6789B,2,3
249,Maynard,Ramos,18000.000000,TU6789B,1,3
250,Jessee,Gonzalez,30000.000000,TU6789B,1,3
251,Tiphani,Munioz,42000.000000,TU6789B,1,3
252,Jenna,Rojas,30000.000000,TU6789B,1,3
253,Karlotte,Diaz,20000.000000,BA2491A,1,3
254,Norene,Perez,25000.000000,BA2491A,2,3
255,Morris,Soto,10000.000000,BA2491A,2,3
256,Yuri,Contreras,25000.000000,BA2491A,2,3
257,Gusty,Silva,10000.000000,BA2491A,2,3
258,Jori,Martinez,12000.000000,BA2491A,1,3
259,Sydelle,Sepulveda,30000.000000,BA2491A,1,3
260,Merrile,Morales,50000.000000,BA2491A,1,3
261,Tadd,Rodriguez,50000.000000,TU6789B,1,3
262,Josiah,Lopez,10000.000000,TU6789B,1,3
263,Melisa,Fuentes,12000.000000,TU6789B,1,3
264,Orelee,Hernandez,20000.000000,TU6789B,2,3
265,Stephen,Torres,37000.000000,TU6789B,2,3
266,Blair,Araya,50000.000000,TU6789B,2,3
267,Arel,Flores,30000.000000,TU6789B,2,3
268,Abbie,Espinoza,25000.000000,TU6789B,2,3
269,Channa,Valenzuela,50000.000000,TU6789B,2,3
270,Shirl,Castillo,20000.000000,TU6789B,3,3
271,Edlin,Tapia,20000.000000,TU6789B,2,3
272,Larina,Reyes,18000.000000,TU6789B,3,3
273,Duncan,Gutierrez,37000.000000,TU6789B,3,3
274,Bond,Castro,10000.000000,TU6789B,3,3
275,Dyann,Pizarro,50000.000000,TU6789B,3,3
276,Charmian,alvarez,15000.000000,TU6789B,3,3
277,Dru,Vasquez,50000.000000,TU6789B,3,3
278,Kiel,Sanchez,50000.000000,TU6789B,3,3
279,Emory,Fernandez,15000.000000,TU6789B,2,3
280,Alberik,Ramirez,50000.000000,TU6789B,2,3
281,Koenraad,Carrasco,20000.000000,TU6789B,2,3
282,Rafaellle,Gomez,50000.000000,TU6789B,2,3
283,Edie,Cortes,25000.000000,TU6789B,1,3
284,Osbert,Herrera,15000.000000,TU6789B,1,3
285,Sidonia,Nuniez,10000.000000,TU6789B,1,3
286,Bartel,Jara,37000.000000,TU6789B,1,3
287,Jodi,Vergara,30000.000000,BA2491A,1,3
288,Ofelia,Rivera,30000.000000,BA2491A,1,1
289,Dudley,Figueroa,42000.000000,BA2491A,1,1
290,Dulcea,Riquelme,25000.000000,BA2491A,1,1
291,Gordon,Garcia,25000.000000,BA2491A,1,1
292,Chalmers,Miranda,10000.000000,BA2491A,1,1
293,Christiano,Bravo,50000.000000,BA2491A,1,1
294,Russell,Vera,50000.000000,BA2491A,1,1
295,Cleo,Molina,50000.000000,BA2491A,1,1
296,Catriona,Vega,42000.000000,TU6789B,1,1
297,Leigh,Campos,37000.000000,TU6789B,2,1
298,Ddene,Sandoval,12000.000000,TU6789B,2,1
299,Sayre,Orellana,18000.000000,TU6789B,2,1
300,Jody,Cardenas,33000.000000,TU6789B,2,1
301,Zabrina,Olivares,12000.000000,TU6789B,2,1
302,Cos,Alarcon,30000.000000,TU6789B,2,1
303,Ron,Gallardo,20000.000000,TU6789B,2,1
304,Charin,Ortiz,12000.000000,TU6789B,2,1
305,Coleman,Garrido,33000.000000,TU6789B,2,1
306,Jacinda,Salazar,50000.000000,TU6789B,3,1
307,Silvan,Guzman,12000.000000,TU6789B,3,1
308,Renie,Henriquez,33000.000000,TU6789B,3,1
309,Davide,Saavedra,42000.000000,TU6789B,3,1
310,Ernestus,Navarro,12000.000000,TU6789B,3,1
311,Brnaba,Aguilera,37000.000000,TU6789B,3,1
312,Tabor,Parra,37000.000000,TU6789B,3,1
313,Lenci,Romero,42000.000000,TU6789B,3,1
314,Franchot,Aravena,12000.000000,TU6789B,3,1
315,Charisse,Vargas,50000.000000,TU6789B,3,1
316,Timothea,Vazquez,20000.000000,TU6789B,2,1
317,Angelika,Caceres,50000.000000,BA2491A,2,1
318,Web,Yaniez,37000.000000,BA2491A,2,1
319,Urban,Leiva,10000.000000,BA2491A,2,1
320,Fan,Escobar,18000.000000,BA2491A,2,1
321,Donaugh,Ruiz,12000.000000,BA2491A,2,1
322,Wilona,Valdes,25000.000000,BA2491A,1,1
323,Richard,Vidal,42000.000000,BA2491A,1,1
324,Hilary,Salinas,37000.000000,BA2491A,1,1
325,Ad,Zuniiga,33000.000000,BA2491A,1,1
326,Maynord,Penia,42000.000000,BA2491A,1,1
327,Lina,Godoy,12000.000000,TU6789B,1,1
328,Nerty,Lagos,20000.000000,TU6789B,1,1
329,Matias,Maldonado,33000.000000,TU6789B,1,1
330,Urbano,Bustos,50000.000000,TU6789B,1,1
331,Rosemarie,Medina,33000.000000,TU6789B,1,1
332,Booth,Pino,15000.000000,TU6789B,1,1
333,Eden,Palma,18000.000000,TU6789B,2,1
334,Cornie,Moreno,15000.000000,TU6789B,2,1
335,Isak,Sanhueza,20000.000000,TU6789B,2,1
336,Rand,Carvajal,20000.000000,TU6789B,2,1
337,Dominique,Navarrete,37000.000000,TU6789B,2,1
338,Lira,Saez,30000.000000,TU6789B,2,1
339,Filbert,Alvarado,20000.000000,TU6789B,2,1
340,Nona,Donoso,30000.000000,TU6789B,1,1
341,Melloney,Poblete,33000.000000,TU6789B,1,1
342,Rafaello,Bustamante,37000.000000,TU6789B,1,1
343,Floria,Toro,12000.000000,TU6789B,1,1
344,Johannes,Ortega,18000.000000,TU6789B,1,1
345,Genevra,Venegas,10000.000000,TU6789B,1,1
346,Aldric,Guerrero,50000.000000,TU6789B,1,1
347,Janeta,Mendoza,10000.000000,TU6789B,2,1
348,Tarra,Farias,12000.000000,TU6789B,2,1
349,Jefferey,Martin,33000.000000,TU6789B,2,1
350,Cassie,Gonzalez,50000.000000,TU6789B,2,1
351,Maiga,Fernandez,20000.000000,TU6789B,3,1
352,Heddi,Rodriguez,20000.000000,TU6789B,3,1
353,Marieann,Lopez,50000.000000,TU6789B,3,1
354,Carita,Martinez,42000.000000,TU6789B,1,1
355,Kurtis,Sanchez,50000.000000,TU6789B,3,1
356,Wilfred,Perez,20000.000000,TU6789B,3,1
357,Isabelle,Gomez,20000.000000,TU6789B,2,1
358,Nisse,Martin,37000.000000,TU6789B,1,1
359,Ula,Jimenez,50000.000000,TU6789B,1,1
360,Tully,Ruiz,18000.000000,TU6789B,1,1
361,Honor,Hernandez,30000.000000,TU6789B,1,1
362,Sinclair,Diaz,50000.000000,TU6789B,1,1
363,Buddy,Moreno,50000.000000,TU6789B,1,1
364,Neilla,alvarez,50000.000000,TU6789B,1,1
365,Junie,Munioz,20000.000000,TU6789B,1,1
366,Neely,Romero,20000.000000,TU6789B,1,1
367,Klarrisa,Alonso,18000.000000,TU6789B,1,1
368,Maryellen,Gutierrez,37000.000000,TU6789B,2,1
369,Clywd,Navarro,33000.000000,TU6789B,2,1
370,Deni,Torres,42000.000000,TU6789B,2,1
371,Ingrim,Dominguez,30000.000000,TU6789B,2,1
372,Franni,Vazquez,42000.000000,TU6789B,2,1
373,Andy,Ramos,37000.000000,TU6789B,2,1
374,Veronica,Gonzalez,42000.000000,TU6789B,2,1
375,Dalis,Munioz,42000.000000,TU6789B,2,1
376,Nanni,Rojas,25000.000000,BA2491A,2,1
377,Vikky,Diaz,15000.000000,BA2491A,2,1
378,Hussein,Perez,25000.000000,BA2491A,2,1
379,Brigg,Soto,10000.000000,BA2491A,2,1
380,Crawford,Contreras,12000.000000,BA2491A,2,1
381,Fran,Silva,30000.000000,BA2491A,2,1
382,Silas,Martinez,15000.000000,BA2491A,2,1
383,Alister,Sepulveda,33000.000000,BA2491A,2,1
384,George,Morales,15000.000000,TU6789B,2,1
385,Nonnah,Rodriguez,25000.000000,TU6789B,2,1
386,Gayel,Lopez,20000.000000,TU6789B,2,1
387,Demeter,Fuentes,10000.000000,TU6789B,2,1
388,Juliann,Hernandez,50000.000000,TU6789B,2,1
389,Shauna,Torres,25000.000000,TU6789B,2,1
390,Anna,Araya,42000.000000,TU6789B,2,1
391,Ag,Flores,50000.000000,TU6789B,2,1
392,Sherwin,Espinoza,50000.000000,MM0987B,2,1
393,Vikki,Valenzuela,33000.000000,MM0987B,2,1
394,Barret,Castillo,10000.000000,MM0987B,2,1
395,Gaelan,Tapia,25000.000000,MM0987B,2,1
396,Livy,Reyes,20000.000000,MM0987B,2,1
397,Iorgos,Gutierrez,18000.000000,MM0987B,3,1
398,Charil,Castro,33000.000000,MM0987B,2,1
399,Easter,Pizarro,30000.000000,MM0987B,2,1
400,Esdras,alvarez,37000.000000,MM0987B,2,1
401,Prince,Vasquez,25000.000000,MM0987B,3,1
402,Vail,Sanchez,33000.000000,MM0987B,3,1
403,Rachel,Fernandez,12000.000000,MM0987B,3,1
404,Bar,Ramirez,20000.000000,TU6789B,3,1
405,Willa,Carrasco,30000.000000,TU6789B,3,1
406,Amerigo,Gomez,33000.000000,TU6789B,3,1
407,Fredric,Cortes,50000.000000,TU6789B,3,1
408,Mikael,Herrera,50000.000000,TU6789B,3,1
409,Benson,Nuniez,20000.000000,TU6789B,3,1
410,Sileas,Jara,20000.000000,TU6789B,3,1
411,Fidelia,Vergara,12000.000000,TU6789B,3,1
412,Frayda,Rivera,30000.000000,TU6789B,3,1
413,Babita,Figueroa,30000.000000,TU6789B,3,1
414,Clair,Riquelme,42000.000000,TU6789B,3,1
415,Morie,Garcia,12000.000000,TU6789B,3,1
416,Skylar,Miranda,20000.000000,TU6789B,3,1
417,Dennie,Bravo,42000.000000,TU6789B,3,1
418,Sibley,Vera,20000.000000,TU6789B,3,1
419,Addia,Molina,20000.000000,TU6789B,3,1
420,Ed,Vega,18000.000000,TU6789B,3,1
421,Lothaire,Campos,12000.000000,TU6789B,3,1
422,Neila,Sandoval,15000.000000,TU6789B,3,1
423,Jennifer,Orellana,15000.000000,GU2345F,3,1
424,Keelby,Cardenas,15000.000000,GU2345F,3,1
425,Chuck,Olivares,33000.000000,GU2345F,3,1
426,Jordan,Alarcon,33000.000000,GU2345F,1,1
427,Minnnie,Gallardo,20000.000000,GU2345F,1,1
428,Carine,Ortiz,33000.000000,GU2345F,1,1
429,Kelly,Garrido,37000.000000,GU2345F,1,1
430,Coleman,Salazar,25000.000000,GU2345F,1,1
431,Pincus,Guzman,42000.000000,GU2345F,2,1
432,Smitty,Henriquez,15000.000000,GU2345F,1,1
433,Wade,Saavedra,12000.000000,GU2345F,2,1
434,Emmit,Navarro,12000.000000,GU2345F,2,1
435,Brietta,Aguilera,42000.000000,GU2345F,3,1
436,Wesley,Parra,10000.000000,GU2345F,3,1
437,Felicdad,Romero,18000.000000,GU2345F,3,1
438,Any,Aravena,18000.000000,GU2345F,3,1
439,Gardie,Vargas,12000.000000,GU2345F,2,1
440,Leelah,Vazquez,25000.000000,GU2345F,1,1
441,Garold,Caceres,20000.000000,GU2345F,1,1
442,Regine,Yaniez,10000.000000,GU2345F,2,1
443,Tam,Leiva,20000.000000,GU2345F,1,1
444,Davon,Escobar,20000.000000,GU2345F,2,1
445,Chrissy,Ruiz,18000.000000,GU2345F,3,1
446,Ozzie,Valdes,20000.000000,GU2345F,3,1
447,Rina,Vidal,20000.000000,GU2345F,3,1
448,Guy,Salinas,42000.000000,GU2345F,3,1
449,Lenora,Zuniiga,18000.000000,GU2345F,3,1
450,Julietta,Penia,42000.000000,GU2345F,3,1
451,Alexandr,Godoy,18000.000000,GU2345F,3,1
452,Margalit,Lagos,15000.000000,GU2345F,2,1
453,Samara,Maldonado,50000.000000,GU2345F,2,1
454,Portie,Bustos,15000.000000,GU2345F,1,1
455,Korella,Medina,33000.000000,GU2345F,1,1
456,Hilly,Pino,30000.000000,GU2345F,1,1
457,Leeanne,Palma,10000.000000,GU2345F,1,1
458,Arnaldo,Moreno,10000.000000,GU2345F,1,1
459,Kassi,Sanhueza,37000.000000,GU2345F,1,1
460,Karen,Carvajal,20000.000000,GU2345F,1,1
461,Mac,Navarrete,20000.000000,GU2345F,1,1
462,Anthia,Saez,37000.000000,GU2345F,3,1
463,Marsiella,Alvarado,20000.000000,GU2345F,2,1
464,Shea,Donoso,12000.000000,GU2345F,3,1
465,Liana,Poblete,15000.000000,GU2345F,3,1
466,Carley,Bustamante,12000.000000,GU2345F,3,1
467,Carlye,Toro,37000.000000,GU2345F,3,1
468,Svend,Ortega,25000.000000,GU2345F,3,1
469,Kendell,Venegas,25000.000000,GU2345F,3,1
470,Chrisy,Guerrero,15000.000000,GU2345F,3,1
471,Rod,Mendoza,50000.000000,GU2345F,3,1
472,Ramsay,Farias,20000.000000,GU2345F,3,1
473,Saidee,SanMartin,50000.000000,GU2345F,3,1
474,Erek,Gonzalez,10000.000000,GU2345F,3,1
475,Salomi,Fernandez,10000.000000,GU2345F,3,1
476,Coletta,Rodriguez,50000.000000,GU2345F,3,1
477,Abigael,Lopez,12000.000000,GU2345F,3,1
478,Mariele,Martinez,33000.000000,GU2345F,2,1
479,Brooke,Sanchez,20000.000000,GU2345F,2,1
480,Benita,Perez,25000.000000,GU2345F,2,1
481,Marissa,Gomez,37000.000000,GU2345F,2,1
482,Lionello,Martin,37000.000000,GU2345F,2,1
483,Tori,Jimenez,42000.000000,GU2345F,2,1
484,Micheil,Ruiz,37000.000000,GU2345F,2,1
485,Kym,Hernandez,20000.000000,GU2345F,2,1
486,Melisse,Diaz,10000.000000,GU2345F,2,1
487,Bartholomew,Moreno,33000.000000,GU2345F,2,1
488,Rorie,alvarez,25000.000000,GU2345F,2,1
489,Hedvige,Munioz,37000.000000,GU2345F,2,1
490,Dorothea,Romero,15000.000000,GU2345F,2,1
491,Tamarah,Alonso,50000.000000,GU2345F,2,1
492,Skipton,Gutierrez,10000.000000,GU2345F,2,1
493,Minny,Navarro,33000.000000,GU2345F,2,1
494,Joshia,Torres,33000.000000,GU2345F,2,1
495,Mirilla,Dominguez,30000.000000,GU2345F,2,1
496,Willey,Vazquez,15000.000000,GU2345F,2,1
